1.000018562500000000e+06,1.070680809020996094e+01,-9.351238608360290527e-01
6.749461875000000000e+05,8.407536506652832031e+00,-2.540461421012878418e-01
4.555466875000000000e+05,8.377172470092773438e+00,-2.554345726966857910e-01
3.074710625000000000e+05,8.394862174987792969e+00,-4.138760268688201904e-01
2.075230000000000000e+05,8.458440780639648438e+00,-5.596344470977783203e-01
1.400682812500000000e+05,8.555253982543945312e+00,-7.379958033561706543e-01
9.453867187500000000e+04,8.679953575134277344e+00,-9.623218178749084473e-01
6.380827343750000000e+04,8.820499420166015625e+00,-1.254603981971740723e+00
4.307081640625000000e+04,8.995355606079101562e+00,-1.648891806602478027e+00
2.906955078125000000e+04,9.226777076721191406e+00,-2.196665763854980469e+00
1.961475781250000000e+04,9.535254478454589844e+00,-2.930597305297851562e+00
1.324042480468750000e+04,9.954794883728027344e+00,-3.932573795318603516e+00
8.934787109375000000e+03,1.056369686126708984e+01,-5.286641120910644531e+00
6.032659667968750000e+03,1.140171051025390625e+01,-7.068871498107910156e+00
4.071302734375000000e+03,1.254293632507324219e+01,-9.392463684082031250e+00
2.747362304687500000e+03,1.411874771118164062e+01,-1.245297527313232422e+01
1.855594116210937500e+03,1.618937492370605469e+01,-1.639675712585449219e+01
1.252003540039062500e+03,1.891732025146484375e+01,-2.149491310119628906e+01
8.452702026367187500e+02,2.221793174743652344e+01,-2.810715675354003906e+01
5.701824340820312500e+02,2.647215843200683594e+01,-3.708964538574218750e+01
3.851232299804687500e+02,3.208340454101562500e+01,-4.941450119018554688e+01
2.597506408691406250e+02,4.022827148437500000e+01,-6.651397705078125000e+01
1.752804718017578125e+02,5.284562301635742188e+01,-8.959001922607421875e+01
1.183711929321289062e+02,7.344771575927734375e+01,-1.191891632080078125e+02
7.992326354980468750e+01,1.063160934448242188e+02,-1.539793853759765625e+02
5.391311264038085938e+01,1.561975860595703125e+02,-1.883298492431640625e+02
3.640978622436523438e+01,2.241286010742187500e+02,-2.130744628906250000e+02
2.456760978698730469e+01,3.016520690917968750e+02,-2.172395629882812500e+02
1.657531738281250000e+01,3.735900878906250000e+02,-1.977361297607421875e+02
1.119269084930419922e+01,4.314714965820312500e+02,-1.654307250976562500e+02
7.555608272552490234e+00,4.690672912597656250e+02,-1.296024322509765625e+02
5.096216678619384766e+00,4.921697692871093750e+02,-9.779429626464843750e+01
3.441629648208618164e+00,5.057903442382812500e+02,-7.376580810546875000e+01
2.320314645767211914e+00,5.141991577148437500e+02,-5.704039382934570312e+01
1.567830801010131836e+00,5.206146240234375000e+02,-4.657178497314453125e+01
1.058891415596008301e+00,5.260314941406250000e+02,-4.104825592041015625e+01
7.134703993797302246e-01,5.321041259765625000e+02,-3.942632675170898438e+01
4.814803302288055420e-01,5.395340576171875000e+02,-4.079177856445312500e+01
3.255614936351776123e-01,5.491664428710937500e+02,-4.422241592407226562e+01
2.193536311388015747e-01,5.612479858398437500e+02,-4.886570358276367188e+01
1.481042504310607910e-01,5.753189086914062500e+02,-5.412978363037109375e+01
1.000704243779182434e-01,5.928523559570312500e+02,-5.984971237182617188e+01
